Chip Run Info,Z:\Projects\Reprogramming\Fluidigm Projects\BioMark Data\BioMark Data\BJ Monocistronic\Combined Chip Run BJ Monocistronic\ChipRun.bml,Combined Chip Run,96.96 (136x),GE 96x96 Fast v2,ROX,FAM-MGB,8/4/2014 4:56:26 PM,00:24:51,BIOMARKHD227
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.4
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,User
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,Comments
S096-A43,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,CDH1,Test,21.6318396097408,1,Pass,0.00740197595583316,
S096-A44,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,DPPA4,Test,999,0,Fail,0.00740197595583316,
S096-A45,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,LEFTY2,Test,999,0,Fail,0.00740197595583316,
S096-A46,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,RIF1,Test,23.9455464742682,1,Pass,0.00740197595583316,
S096-A47,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,ETV5,Test,999,0,Fail,0.00740197595583316,
S096-A48,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,CD3D,Test,999,0,Fail,0.00740197595583316,
S096-A54,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,Wnt3,Test,999,0,Fail,0.00740197595583316,
S096-A53,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,Sox1,Test,999,0,Fail,0.00740197595583316,
S096-A52,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,LOX,Test,21.1783042738976,0.950758188188788,Pass,0.00740197595583316,
S096-A51,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,JARID2,Test,999,0,Fail,0.00740197595583316,
S096-A50,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,KDM5A,Test,24.2411201906687,1,Pass,0.00740197595583316,
S096-A49,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,DNMT3B,Test,999,0,Fail,0.00740197595583316,
S096-A60,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,PTPN6,Test,999,0,Fail,0.00740197595583316,
S096-A59,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,TCF3,Test,999,0,Fail,0.00740197595583316,
S096-A58,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,NR0B1(DAX1),Test,999,0,Fail,0.00740197595583316,
S096-A57,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,SALL1,Test,25.2209388376446,1,Pass,0.00740197595583316,
S096-A56,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,DPPA2,Test,999,0,Fail,0.00740197595583316,
S096-A55,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,Gata6,Test,999,0,Fail,0.00740197595583316,
S096-A66,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,SMAD4,Test,23.6972818237938,1,Pass,0.00740197595583316,
S096-A65,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,SOX13,Test,999,0,Fail,0.00740197595583316,
S096-A64,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,LUM,Test,18.8820541124329,0.961326408211617,Pass,0.00740197595583316,
S096-A63,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,HDAC2,Test,24.5724204281867,0.797773362450231,Pass,0.00740197595583316,
S096-A62,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,SETD1A,Test,23.8193635849318,1,Pass,0.00740197595583316,
S096-A61,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,USP16,Test,999,0,Fail,0.00740197595583316,
S096-A72,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,CCR7,Test,999,0,Fail,0.00740197595583316,
S096-A71,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,HESX1,Test,999,0,Fail,0.00740197595583316,
S096-A70,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,REST,Test,999,0,Fail,0.00740197595583316,
S096-A69,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,SALL4,Test,23.8963853508554,1,Pass,0.00740197595583316,
S096-A68,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,GAL,Test,999,0,Fail,0.00740197595583316,
S096-A67,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,SEMA6A,Test,999,0,Fail,0.00740197595583316,
S096-A78,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,DVL2,Test,999,0,Fail,0.00740197595583316,
S096-A77,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,TCL1A,Test,999,0,Fail,0.00740197595583316,
S096-A76,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,GREM1,Test,23.0691143987331,0.972380284750766,Pass,0.00740197595583316,
S096-A75,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,COL3A1,Test,16.4951280414529,1,Pass,0.00740197595583316,
S096-A74,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,JMJD2B,Test,999,0,Fail,0.00740197595583316,
S096-A73,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,PRDM14,Test,999,0,Fail,0.00740197595583316,
S096-A84,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,STEMCCA-P2A,Test,19.5627787126521,1,Pass,0.00740197595583316,
S096-A83,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,CCND1,Test,22.4075093493715,0.932292955576709,Pass,0.00740197595583316,
S096-A82,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,OTX2,Test,999,0,Fail,0.00740197595583316,
S096-A81,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,STAT3,Test,23.8540813454987,0.954232833166392,Pass,0.00740197595583316,
S096-A80,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,LRRN1,Test,999,0,Fail,0.00740197595583316,
S096-A79,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,APOE,Test,25.237434444847,1,Pass,0.00740197595583316,
