Chip Run Info,Z:\Projects\Reprogramming\Fluidigm Projects\BioMark Data\BioMark Data\BJ Monocistronic\Combined Chip Run BJ Monocistronic\ChipRun.bml,Combined Chip Run,96.96 (136x),GE 96x96 Fast v2,ROX,FAM-MGB,8/4/2014 4:56:26 PM,00:24:51,BIOMARKHD227
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.4
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,User
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,Comments
S036-A34,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,NACC1,Test,19.3120385874386,0.994747705468707,Pass,0.00740197595583316,
S036-A35,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,FBXO15,Test,999,0,Fail,0.00740197595583316,
S036-A36,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,CD4,Test,999,0,Fail,0.00740197595583316,
S036-A37,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,DNMT3L,Test,999,0,Fail,0.00740197595583316,
S036-A38,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,EZH2,Test,999,0,Fail,0.00740197595583316,
S036-A39,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,EED,Test,21.5515514710958,0.998104172263196,Pass,0.00740197595583316,
S036-A40,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,SMARCC2,Test,14.7738920928314,0.889713598215041,Pass,0.00740197595583316,
S036-A41,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,MyoD1,Test,999,0,Fail,0.00740197595583316,
S036-A42,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,NODAL,Test,999,0,Fail,0.00740197595583316,
S036-A43,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,CDH1,Test,15.7873440809981,1,Pass,0.00740197595583316,
S036-A44,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,DPPA4,Test,999,0,Fail,0.00740197595583316,
S036-A45,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,LEFTY2,Test,999,0,Fail,0.00740197595583316,
S036-A46,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,RIF1,Test,21.59090635566,1,Pass,0.00740197595583316,
S036-A47,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,ETV5,Test,16.7270887638614,0.891210133953758,Pass,0.00740197595583316,
S036-A48,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,CD3D,Test,999,0,Fail,0.00740197595583316,
S036-A54,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,Wnt3,Test,999,0,Fail,0.00740197595583316,
S036-A53,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,Sox1,Test,999,0,Fail,0.00740197595583316,
S036-A52,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,LOX,Test,10.3223197282297,1,Pass,0.00740197595583316,
S036-A51,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,JARID2,Test,15.3838871690379,1,Pass,0.00740197595583316,
S036-A50,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,KDM5A,Test,17.9531907074634,1,Pass,0.00740197595583316,
S036-A49,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,DNMT3B,Test,999,0,Fail,0.00740197595583316,
S036-A60,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,PTPN6,Test,999,0,Fail,0.00740197595583316,
S036-A59,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,TCF3,Test,21.6575044332723,0.962640061438575,Pass,0.00740197595583316,
S036-A58,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,NR0B1(DAX1),Test,999,0,Fail,0.00740197595583316,
S036-A57,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,SALL1,Test,18.953733798246,1,Pass,0.00740197595583316,
S036-A56,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,DPPA2,Test,999,0,Fail,0.00740197595583316,
S036-A55,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,Gata6,Test,999,0,Fail,0.00740197595583316,
S036-A66,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,SMAD4,Test,15.0631465639496,0.995921903925206,Pass,0.00740197595583316,
S036-A65,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,SOX13,Test,999,0,Fail,0.00740197595583316,
S036-A64,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,LUM,Test,16.9676658690184,0.96731676205274,Pass,0.00740197595583316,
S036-A63,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,HDAC2,Test,17.839460967986,0.930838313622278,Pass,0.00740197595583316,
S036-A62,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,SETD1A,Test,999,0,Fail,0.00740197595583316,
S036-A61,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,USP16,Test,16.4620141159575,0.879572711739891,Pass,0.00740197595583316,
S036-A72,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,CCR7,Test,999,0,Fail,0.00740197595583316,
S036-A71,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,HESX1,Test,999,0,Fail,0.00740197595583316,
S036-A70,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,REST,Test,999,0,Fail,0.00740197595583316,
S036-A69,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,SALL4,Test,999,0,Fail,0.00740197595583316,
S036-A68,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,GAL,Test,22.3443943491219,0.914834347673958,Pass,0.00740197595583316,
S036-A67,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,SEMA6A,Test,999,0,Fail,0.00740197595583316,
S036-A78,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,DVL2,Test,20.1075056322177,0.90494215264836,Pass,0.00740197595583316,
S036-A77,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,TCL1A,Test,999,0,Fail,0.00740197595583316,
S036-A76,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,GREM1,Test,19.6437969933981,0.969764509203104,Pass,0.00740197595583316,
S036-A75,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,COL3A1,Test,9.3072752944588,1,Pass,0.00740197595583316,
S036-A74,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,JMJD2B,Test,999,0,Fail,0.00740197595583316,
S036-A73,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,PRDM14,Test,999,0,Fail,0.00740197595583316,
S036-A84,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,STEMCCA-P2A,Test,15.2944360305022,1,Pass,0.00740197595583316,
S036-A83,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,CCND1,Test,13.8083940167741,1,Pass,0.00740197595583316,
S036-A82,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,OTX2,Test,999,0,Fail,0.00740197595583316,
S036-A81,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,STAT3,Test,16.5426370790616,1,Pass,0.00740197595583316,
S036-A80,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,LRRN1,Test,999,0,Fail,0.00740197595583316,
S036-A79,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,APOE,Test,999,0,Fail,0.00740197595583316,
S036-A90,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,KDR,Test,999,0,Fail,0.00740197595583316,
S036-A89,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,MASP1,Test,17.0722708911301,1,Pass,0.00740197595583316,
S036-A88,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,Eomes,Test,999,0,Fail,0.00740197595583316,
S036-A87,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,TDGF1,Test,999,0,Fail,0.00740197595583316,
S036-A86,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,KAT7 (Myst),Test,17.1135528188321,0.770160424873888,Pass,0.00740197595583316,
S036-A85,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,TET2,Test,15.7102069971514,1,Pass,0.00740197595583316,
S036-A96,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,GAPDH,Test,12.4936785444384,1,Pass,0.00740197595583316,
S036-A95,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,POU5F1,Test,999,0,Fail,0.00740197595583316,
S036-A94,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,LIN28A,Test,999,0,Fail,0.00740197595583316,
S036-A93,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,ZIC3,Test,999,0,Fail,0.00740197595583316,
S036-A92,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,NANOG,Test,999,0,Fail,0.00740197595583316,
S036-A91,MONO D7 SSEA4+ Tra1-60- 20,Unknown,1,GDF3,Test,999,0,Fail,0.00740197595583316,
S065-A01,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,TET1,Test,14.2278275003053,0.621787031770866,Pass,0.00740197595583316,
S065-A02,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,PHC1,Test,999,0,Fail,0.00740197595583316,
S065-A03,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,MBD3,Test,999,0,Fail,0.00740197595583316,
S065-A04,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,SNAI2,Test,16.838684575337,1,Pass,0.00740197595583316,
S065-A05,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,FOXD1,Test,999,0,Fail,0.00740197595583316,
S065-A06,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,FOSB,Test,999,0,Fail,0.00740197595583316,
S065-A07,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,CD44,Test,14.4271038261253,1,Pass,0.00740197595583316,
S065-A08,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,GABRB3,Test,999,0,Fail,0.00740197595583316,
S065-A09,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,SOX2,Test,999,0,Fail,0.00740197595583316,
S065-A10,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,ZNF281,Test,17.3837287780972,0.989754949777462,Pass,0.00740197595583316,
S065-A11,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,SP1,Test,999,0,Fail,0.00740197595583316,
S065-A12,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,LEFTY1,Test,999,0,Fail,0.00740197595583316,
S065-A13,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,SET,Test,16.4091573408772,1,Pass,0.00740197595583316,
S065-A14,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,CBX7,Test,999,0,Fail,0.00740197595583316,
S065-A15,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,UTF1,Test,999,0,Fail,0.00740197595583316,
S065-A16,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,CDH2 (NCAD),Test,999,0,Fail,0.00740197595583316,
S065-A17,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,HNF4A,Test,999,0,Fail,0.00740197595583316,
S065-A18,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,TGFBR2,Test,999,0,Fail,0.00740197595583316,
S065-A19,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,DUSP10,Test,999,0,Fail,0.00740197595583316,
S065-A20,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,ESRRB,Test,999,0,Fail,0.00740197595583316,
S065-A21,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,MYC,Test,18.46532042768,0.564664906731302,Pass,0.00740197595583316,
S065-A22,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,ZFP42 (REX1),Test,999,0,Fail,0.00740197595583316,
S065-A23,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,TRIM28,Test,999,0,Fail,0.00740197595583316,
S065-A24,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,CD48,Test,999,0,Fail,0.00740197595583316,
S065-A25,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,CDKN1A,Test,15.4635101345321,1,Pass,0.00740197595583316,
S065-A26,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,JMJD3,Test,999,0,Fail,0.00740197595583316,
S065-A27,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,RNF2,Test,999,0,Fail,0.00740197595583316,
S065-A28,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,LATS2,Test,999,0,Fail,0.00740197595583316,
S065-A29,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,T,Test,999,0,Fail,0.00740197595583316,
S065-A30,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,FGF2,Test,999,0,Fail,0.00740197595583316,
S065-A31,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,LCK,Test,999,0,Fail,0.00740197595583316,
S065-A32,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,KLF5,Test,999,0,Fail,0.00740197595583316,
S065-A33,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,KLF4,Test,999,0,Fail,0.00740197595583316,
S065-A34,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,NACC1,Test,999,0,Fail,0.00740197595583316,
S065-A35,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,FBXO15,Test,999,0,Fail,0.00740197595583316,
S065-A36,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,CD4,Test,999,0,Fail,0.00740197595583316,
S065-A37,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,DNMT3L,Test,999,0,Fail,0.00740197595583316,
S065-A38,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,EZH2,Test,999,0,Fail,0.00740197595583316,
S065-A39,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,EED,Test,999,0,Fail,0.00740197595583316,
S065-A40,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,SMARCC2,Test,25.5481188715329,0.812652269903672,Pass,0.00740197595583316,
S065-A41,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,MyoD1,Test,999,0,Fail,0.00740197595583316,
S065-A42,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,NODAL,Test,999,0,Fail,0.00740197595583316,
S065-A43,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,CDH1,Test,13.9725100966566,1,Pass,0.00740197595583316,
S065-A44,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,DPPA4,Test,999,0,Fail,0.00740197595583316,
S065-A45,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,LEFTY2,Test,999,0,Fail,0.00740197595583316,
S065-A46,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,RIF1,Test,999,0,Fail,0.00740197595583316,
S065-A47,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,ETV5,Test,999,0,Fail,0.00740197595583316,
S065-A48,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,CD3D,Test,999,0,Fail,0.00740197595583316,
S065-A54,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,Wnt3,Test,999,0,Fail,0.00740197595583316,
S065-A53,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,Sox1,Test,999,0,Fail,0.00740197595583316,
S065-A52,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,LOX,Test,12.3211973945433,1,Pass,0.00740197595583316,
S065-A51,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,JARID2,Test,999,0,Fail,0.00740197595583316,
S065-A50,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,KDM5A,Test,999,0,Fail,0.00740197595583316,
S065-A49,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,DNMT3B,Test,999,0,Fail,0.00740197595583316,
S065-A60,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,PTPN6,Test,999,0,Fail,0.00740197595583316,
S065-A59,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,TCF3,Test,999,0,Fail,0.00740197595583316,
S065-A58,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,NR0B1(DAX1),Test,999,0,Fail,0.00740197595583316,
S065-A57,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,SALL1,Test,999,0,Fail,0.00740197595583316,
S065-A56,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,DPPA2,Test,999,0,Fail,0.00740197595583316,
S065-A55,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,Gata6,Test,999,0,Fail,0.00740197595583316,
S065-A66,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,SMAD4,Test,25.2456446316919,0.996650854842165,Pass,0.00740197595583316,
S065-A65,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,SOX13,Test,999,0,Fail,0.00740197595583316,
S065-A64,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,LUM,Test,15.3655179059119,0.916864970712499,Pass,0.00740197595583316,
S065-A63,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,HDAC2,Test,999,0,Fail,0.00740197595583316,
S065-A62,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,SETD1A,Test,999,0,Fail,0.00740197595583316,
S065-A61,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,USP16,Test,999,0,Fail,0.00740197595583316,
S065-A72,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,CCR7,Test,999,0,Fail,0.00740197595583316,
S065-A71,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,HESX1,Test,999,0,Fail,0.00740197595583316,
S065-A70,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,REST,Test,999,0,Fail,0.00740197595583316,
S065-A69,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,SALL4,Test,15.0202899349887,1,Pass,0.00740197595583316,
S065-A68,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,GAL,Test,999,0,Fail,0.00740197595583316,
S065-A67,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,SEMA6A,Test,999,0,Fail,0.00740197595583316,
S065-A78,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,DVL2,Test,999,0,Fail,0.00740197595583316,
S065-A77,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,TCL1A,Test,999,0,Fail,0.00740197595583316,
S065-A76,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,GREM1,Test,999,0,Fail,0.00740197595583316,
S065-A75,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,COL3A1,Test,12.4829355501837,1,Pass,0.00740197595583316,
S065-A74,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,JMJD2B,Test,999,0,Fail,0.00740197595583316,
S065-A73,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,PRDM14,Test,999,0,Fail,0.00740197595583316,
S065-A84,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,STEMCCA-P2A,Test,12.5730560138591,1,Pass,0.00740197595583316,
S065-A83,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,CCND1,Test,999,0,Fail,0.00740197595583316,
S065-A82,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,OTX2,Test,999,0,Fail,0.00740197595583316,
S065-A81,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,STAT3,Test,999,0,Fail,0.00740197595583316,
S065-A80,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,LRRN1,Test,999,0,Fail,0.00740197595583316,
S065-A79,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,APOE,Test,999,0,Fail,0.00740197595583316,
S065-A90,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,KDR,Test,999,0,Fail,0.00740197595583316,
S065-A89,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,MASP1,Test,999,0,Fail,0.00740197595583316,
S065-A88,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,Eomes,Test,999,0,Fail,0.00740197595583316,
S065-A87,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,TDGF1,Test,18.6073878446936,1,Pass,0.00740197595583316,
S065-A86,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,KAT7 (Myst),Test,999,0,Fail,0.00740197595583316,
S065-A85,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,TET2,Test,999,0,Fail,0.00740197595583316,
S065-A96,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,GAPDH,Test,16.3399411932144,1,Pass,0.00740197595583316,
S065-A95,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,POU5F1,Test,15.6358919059758,1,Pass,0.00740197595583316,
S065-A94,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,LIN28A,Test,16.4674447568285,1,Pass,0.00740197595583316,
S065-A93,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,ZIC3,Test,999,0,Fail,0.00740197595583316,
S065-A92,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,NANOG,Test,999,0,Fail,0.00740197595583316,
S065-A91,MONO D11 SSEA4+ Tra1-60- 14,Unknown,1,GDF3,Test,999,0,Fail,0.00740197595583316,
S035-A01,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,TET1,Test,999,0,Fail,0.00740197595583316,
S035-A02,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,PHC1,Test,999,0,Fail,0.00740197595583316,
S035-A03,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,MBD3,Test,999,0,Fail,0.00740197595583316,
S035-A04,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,SNAI2,Test,999,0,Fail,0.00740197595583316,
S035-A05,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,FOXD1,Test,14.7879444522022,1,Pass,0.00740197595583316,
S035-A06,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,FOSB,Test,999,0,Fail,0.00740197595583316,
S035-A07,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,CD44,Test,13.4205514549757,1,Pass,0.00740197595583316,
S035-A08,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,GABRB3,Test,999,0,Fail,0.00740197595583316,
S035-A09,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,SOX2,Test,999,0,Fail,0.00740197595583316,
S035-A10,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,ZNF281,Test,999,0,Fail,0.00740197595583316,
S035-A11,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,SP1,Test,999,0,Fail,0.00740197595583316,
S035-A12,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,LEFTY1,Test,999,0,Fail,0.00740197595583316,
S035-A13,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,SET,Test,18.2220961319109,1,Pass,0.00740197595583316,
S035-A14,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,CBX7,Test,999,0,Fail,0.00740197595583316,
S035-A15,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,UTF1,Test,999,0,Fail,0.00740197595583316,
S035-A16,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,CDH2 (NCAD),Test,999,0,Fail,0.00740197595583316,
S035-A17,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,HNF4A,Test,999,0,Fail,0.00740197595583316,
S035-A18,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,TGFBR2,Test,999,0,Fail,0.00740197595583316,
S035-A19,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,DUSP10,Test,999,0,Fail,0.00740197595583316,
S035-A20,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,ESRRB,Test,999,0,Fail,0.00740197595583316,
S035-A21,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,MYC,Test,21.0144809713939,0.392887230567669,Pass,0.00740197595583316,
S035-A22,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,ZFP42 (REX1),Test,999,0,Fail,0.00740197595583316,
S035-A23,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,TRIM28,Test,18.1629753422163,0.967072692030644,Pass,0.00740197595583316,
S035-A24,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,CD48,Test,999,0,Fail,0.00740197595583316,
S035-A25,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,CDKN1A,Test,19.34798565851,0.954135106621017,Pass,0.00740197595583316,
S035-A26,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,JMJD3,Test,999,0,Fail,0.00740197595583316,
S035-A27,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,RNF2,Test,17.4439201175126,1,Pass,0.00740197595583316,
S035-A28,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,LATS2,Test,999,0,Fail,0.00740197595583316,
S035-A29,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,T,Test,999,0,Fail,0.00740197595583316,
S035-A30,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,FGF2,Test,18.4530540429845,1,Pass,0.00740197595583316,
S035-A31,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,LCK,Test,999,0,Fail,0.00740197595583316,
S035-A32,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,KLF5,Test,20.5629089799179,1,Pass,0.00740197595583316,
S035-A33,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,KLF4,Test,23.0739430259728,0.908309877779224,Pass,0.00740197595583316,
S035-A34,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,NACC1,Test,17.2640225640574,1,Pass,0.00740197595583316,
S035-A35,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,FBXO15,Test,999,0,Fail,0.00740197595583316,
S035-A36,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,CD4,Test,999,0,Fail,0.00740197595583316,
S035-A37,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,DNMT3L,Test,999,0,Fail,0.00740197595583316,
S035-A38,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,EZH2,Test,999,0,Fail,0.00740197595583316,
S035-A39,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,EED,Test,22.1586888328009,0.964747755188152,Pass,0.00740197595583316,
S035-A40,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,SMARCC2,Test,16.7850191958187,0.85177933278928,Pass,0.00740197595583316,
S035-A41,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,MyoD1,Test,999,0,Fail,0.00740197595583316,
S035-A42,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,NODAL,Test,999,0,Fail,0.00740197595583316,
S035-A43,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,CDH1,Test,17.4550477378801,0.999199908657,Pass,0.00740197595583316,
S035-A44,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,DPPA4,Test,999,0,Fail,0.00740197595583316,
S035-A45,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,LEFTY2,Test,999,0,Fail,0.00740197595583316,
S035-A46,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,RIF1,Test,21.367798066276,1,Pass,0.00740197595583316,
S035-A47,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,ETV5,Test,999,0,Fail,0.00740197595583316,
S035-A48,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,CD3D,Test,999,0,Fail,0.00740197595583316,
S035-A54,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,Wnt3,Test,999,0,Fail,0.00740197595583316,
S035-A53,MONO D4 SSEA4+ Tra1-60- 19,Unknown,1,Sox1,Test,999,0,Fail,0.00740197595583316,
